1,DDG,f,2021-10-07 22:24:30.807882+05:30,2021-10-07 22:24:30.807897+05:30,1,
3,KDG,f,2021-10-07 22:24:32.682214+05:30,2021-10-07 22:24:32.682235+05:30,1,
2,MDG,f,2021-10-07 22:24:34.323944+05:30,2021-10-07 22:24:34.323963+05:30,1,
9,KDG,f,2021-10-07 22:25:19.386133+05:30,2021-10-07 22:25:19.386152+05:30,1,
5,MDG,f,2021-10-07 22:25:21.421532+05:30,2021-10-07 22:25:21.421545+05:30,1,
8,MDG,f,2021-10-07 22:25:23.026991+05:30,2021-10-07 22:25:23.027009+05:30,1,
6,KDG,f,2021-10-07 22:25:57.698332+05:30,2021-10-07 22:25:57.698342+05:30,1,
7,DDG,f,2021-10-07 22:25:58.593121+05:30,2021-10-07 22:25:58.593134+05:30,1,
4,DDG,f,2021-10-07 22:25:59.219085+05:30,2021-10-07 22:25:59.219094+05:30,1,
11,MDG,t,2021-10-08 09:14:20.669531+05:30,2021-10-08 09:14:20.669573+05:30,1,
12,KDG,t,2021-10-08 09:14:20.672441+05:30,2021-10-08 09:14:20.672483+05:30,1,
13,MRTS,t,2021-10-08 09:16:38.29753+05:30,2021-10-08 09:16:38.297581+05:30,1,
14,GRTS,t,2021-10-08 09:16:38.306602+05:30,2021-10-08 09:16:38.306647+05:30,1,
15,LRSTS,t,2021-10-08 09:16:38.309873+05:30,2021-10-08 09:16:38.309919+05:30,1,
16,KRTS,t,2021-10-08 09:16:38.312819+05:30,2021-10-08 09:16:38.312863+05:30,1,
18,Checkpost T-Ward (Mulund),t,2021-10-08 09:24:18.943878+05:30,2021-10-08 09:24:18.943899+05:30,1,
19,Checkpost – RN Ward (Borivali West/Dahisar),t,2021-10-08 09:24:18.947227+05:30,2021-10-08 09:24:18.947247+05:30,1,
20,Checkpost P North East Ward (Malad East),t,2021-10-08 09:24:18.950576+05:30,2021-10-08 09:24:18.950596+05:30,1,
21,Checkpost P North West Ward (Malad West),t,2021-10-08 09:24:18.95393+05:30,2021-10-08 09:24:18.95395+05:30,1,
22,Checkpost PSW Ward (Goregaon W),t,2021-10-08 09:24:18.957016+05:30,2021-10-08 09:24:18.957036+05:30,1,
23,Checkpost K West Ward 2,t,2021-10-08 09:24:18.959995+05:30,2021-10-08 09:24:18.960015+05:30,1,
24,Checkpost H East Ward 2,t,2021-10-08 09:24:18.962905+05:30,2021-10-08 09:24:18.962925+05:30,1,
25,Checkpost K East Ward 2,t,2021-10-08 09:24:18.965987+05:30,2021-10-08 09:24:18.966007+05:30,1,
26,Checkpost N Ward (West),t,2021-10-08 09:24:18.968554+05:30,2021-10-08 09:24:18.968574+05:30,1,
27,Checkpost PSE Ward (Goregaon E),t,2021-10-08 09:24:18.971183+05:30,2021-10-08 09:24:18.971203+05:30,1,
28,Checkpost K West Ward (Andheri West),t,2021-10-08 09:24:18.97378+05:30,2021-10-08 09:24:18.9738+05:30,1,
29,Checkpost A1 Ward,t,2021-10-08 09:24:18.976614+05:30,2021-10-08 09:24:18.976636+05:30,1,
30,Checkpost K East Ward (Andheri East),t,2021-10-08 09:24:18.979355+05:30,2021-10-08 09:24:18.979374+05:30,1,
31,Checkpost N Ward (East),t,2021-10-08 09:24:18.981887+05:30,2021-10-08 09:24:18.981907+05:30,1,
32,Checkpost S1 Ward (Bhandup Kanjurmarg),t,2021-10-08 09:24:18.984486+05:30,2021-10-08 09:24:18.984505+05:30,1,
33,Checkpost E Ward (Agripada),t,2021-10-08 09:24:18.987201+05:30,2021-10-08 09:24:18.98722+05:30,1,
34,Checkpost F North Ward (Wadala),t,2021-10-08 09:24:18.989922+05:30,2021-10-08 09:24:18.989942+05:30,1,
35,Checkpost G South Ward 1 (Chinchpokli),t,2021-10-08 09:24:18.992402+05:30,2021-10-08 09:24:18.992421+05:30,1,
36,Checkpost H east Ward (Khar Santacruz),t,2021-10-08 09:24:18.994827+05:30,2021-10-08 09:24:18.994847+05:30,1,
37,Checkpost H West Ward (Bandra West),t,2021-10-08 09:24:18.99727+05:30,2021-10-08 09:24:18.99729+05:30,1,
38,Checkpost2 M east Ward (Deonar),t,2021-10-08 09:24:18.999662+05:30,2021-10-08 09:24:18.999681+05:30,1,
39,Checkpost1 M east Ward (Deonar),t,2021-10-08 09:24:19.002133+05:30,2021-10-08 09:24:19.002153+05:30,1,
40,Checkpost M West Ward (Chembur),t,2021-10-08 09:24:19.004711+05:30,2021-10-08 09:24:19.004732+05:30,1,
41,Checkpost E Ward (ES Patanwala Road),t,2021-10-08 09:24:19.007164+05:30,2021-10-08 09:24:19.007183+05:30,1,
