id,imei,sim,wnld_tag,is_active,created_at,updated_at,created_by_id,updated_by_id,vehicle_id
2000,868325025291271,7045113031,E251446E6574000000003443,t,2022-01-20 23:01:37.402683+05:30,2022-01-20 23:01:37.402716+05:30,1,,2010
2001,869867030210399,7045543266,,t,2022-01-20 23:01:37.407927+05:30,2022-01-20 23:01:37.407945+05:30,1,,2038
2002,869867030152260,7045542945,E2000017380502411490812C,t,2022-01-20 23:01:37.409579+05:30,2022-01-20 23:01:37.409594+05:30,1,,1959
2003,869867030116794,7045179037,,t,2022-01-20 23:01:37.410954+05:30,2022-01-20 23:01:37.410969+05:30,1,,1971
2004,869867030121232,7045169219,,t,2022-01-20 23:01:37.412351+05:30,2022-01-20 23:01:37.412366+05:30,1,,2046
2005,869867030116224,7045190109,,t,2022-01-20 23:01:37.413652+05:30,2022-01-20 23:01:37.413666+05:30,1,,1951
2006,869867030116521,7045138960,,t,2022-01-20 23:01:37.415281+05:30,2022-01-20 23:01:37.415316+05:30,1,,2040
2007,869867030116091,7045142267,,t,2022-01-20 23:01:37.416655+05:30,2022-01-20 23:01:37.41667+05:30,1,,2041
2008,869867030121729,7045164691,,t,2022-01-20 23:01:37.417929+05:30,2022-01-20 23:01:37.417943+05:30,1,,2044
2009,869867030118105,7045192187,,t,2022-01-20 23:01:37.419048+05:30,2022-01-20 23:01:37.419063+05:30,1,,2045
2010,869867030125530,7045184833,,t,2022-01-20 23:01:37.420148+05:30,2022-01-20 23:01:37.420163+05:30,1,,2042
2011,868325025291420,7045120695,E251446E6574000000003589,t,2022-01-20 23:01:37.421275+05:30,2022-01-20 23:01:37.421306+05:30,1,,2065
2012,868325025348899,7045117528,E251446E6574000000003591,t,2022-01-20 23:01:37.422473+05:30,2022-01-20 23:01:37.422488+05:30,1,,2052
2013,868325025387442,7045119140,E251446E6574000000003510,t,2022-01-20 23:01:37.423596+05:30,2022-01-20 23:01:37.423611+05:30,1,,2019
